Type,City,ZIP,ListPrice,BEDS,BATHS,ImputedSQFT,ParkSpots,HasGarage,DOM,BeenReduced,SoldPrev,LATITUDE,LONGITUDE
Single Family Residential,Des Plaines,60018,420000,3,3,2236,2,Garage,13,No,No,42.014877,-87.905044
Single Family Residential,Des Plaines,60016,174000,4,2,1719,2,Garage,12,No,No,42.047113,-87.883395
Single Family Residential,Des Plaines,60016,309900,3,2,1629,2,Garage,12,No,Yes,42.062374,-87.919761
Single Family Residential,Des Plaines,60016,249899,5,2,1800,1,Garage,11,No,No,42.034166,-87.918495
Single Family Residential,Des Plaines,60016,280000,6,2.5,3234,2,Garage,11,No,Yes,42.038183,-87.934257
Single Family Residential,Des Plaines,60016,400000,3,2.5,1836,2,Garage,11,No,No,42.043694,-87.902264
Single Family Residential,Des Plaines,60016,275000,3,1.5,1765,1,Garage,11,No,No,42.045799,-87.917989
Condo/Coop,Des Plaines,60016,175000,2,2,1177,1,Garage,9,No,No,42.040311,-87.891264
Single Family Residential,Des Plaines,60018,355000,3,2,1308,2,Garage,8,No,No,42.015913,-87.900374
Single Family Residential,Des Plaines,60016,339000,3,2.5,1600,1,Garage,8,No,Yes,42.03595,-87.909908
Townhouse,Des Plaines,60016,299000,3,2.5,2162,2,Garage,8,No,No,42.0478899,-87.893028
Single Family Residential,Des Plaines,60016,374900,3,3,1861,2,Garage,8,Yes,Yes,42.046655,-87.929948
Townhouse,Des Plaines,60016,269900,3,2.5,1721,2,Garage,7,No,No,42.0524472,-87.904034
Single Family Residential,Des Plaines,60018,525000,4,2.5,2184,2,Garage,7,No,Yes,42.018202,-87.89691
Condo/Coop,Des Plaines,60016,90000,1,1,712,2,None,6,No,No,42.045192,-87.893526
Condo/Coop,Des Plaines,60016,169000,2,2,1450,2,Garage,6,No,Yes,42.036697,-87.890239
Condo/Coop,Des Plaines,60016,257000,2,2,1540,1,Garage,5,No,No,42.040617,-87.883117
Condo/Coop,Des Plaines,60016,160000,2,2,1382,1,None,4,No,No,42.036158,-87.885123
Condo/Coop,Des Plaines,60016,298900,2,2,1400,1,Garage,4,No,No,42.0381666,-87.891784
Condo/Coop,Des Plaines,60016,129900,2,1,900,2,None,4,No,No,42.042164,-87.859538
Single Family Residential,Des Plaines,60016,429900,4,3,2978,2,Garage,4,No,Yes,42.058754,-87.91065
Condo/Coop,Des Plaines,60016,60000,2,1,866,2,None,3,No,No,42.032529,-87.937482
Single Family Residential,Des Plaines,60016,269000,3,2,1629,2,Garage,3,No,Yes,42.063582,-87.918198
Single Family Residential,Des Plaines,60016,259000,3,1.5,1431,2,Garage,3,No,No,42.059283,-87.90502
Condo/Coop,Des Plaines,60016,124900,2,2,794,2,Garage,3,No,No,42.043135,-87.888335
Condo/Coop,Des Plaines,60016,257000,2,2,1540,1,Garage,3,No,Yes,42.040617,-87.883117
Single Family Residential,Des Plaines,60016,499750,4,3.5,2500,2,Garage,1,No,Yes,42.056411,-87.913042
Condo/Coop,Des Plaines,60016,225000,2,2,1349,1,Garage,1,No,No,42.045895,-87.895569
Single Family Residential,Des Plaines,60016,350000,3,1.5,1812,2,Garage,1,No,No,42.058325,-87.910652
Condo/Coop,Des Plaines,60016,229900,2,2,1382,1,Garage,1,No,No,42.039584,-87.887093
Single Family Residential,Des Plaines,60018,599000,5,5.5,4000,3,Garage,1,No,Yes,42.029362,-87.896453
Condo/Coop,Des Plaines,60016,279900,3,2,1577,2,Garage,1,No,Yes,42.0407276,-87.884198
Condo/Coop,Des Plaines,60016,154900,3,2.5,1500,0,None,1,No,Yes,42.039973,-87.85569
Single Family Residential,Des Plaines,60016,369900,3,3,1617,2,Garage,1,No,Yes,42.065691,-87.90978
Single Family Residential,Norridge,60706,399000,3,2,1600,2,Garage,200,Yes,Yes,41.973578,-87.833679
Multi-Family,Norridge,60706,449000,6,2,2667,2,Garage,129,No,No,41.967067,-87.827467
Single Family Residential,Norridge,60706,384000,3,2,1031,2,Garage,67,No,No,41.965131,-87.831944
Single Family Residential,Norridge,60706,299900,3,1,1009,6,Garage,732,Yes,Yes,41.971446,-87.8334
Single Family Residential,Norridge,60706,479900,4,4,3200,2,Garage,9,No,Yes,41.954956,-87.810594
Single Family Residential,Norridge,60706,639000,3,3.5,3381,2,Garage,24,Yes,Yes,41.955865,-87.810584
Single Family Residential,Norridge,60706,350000,3,3,2000,2,Garage,2,No,Yes,41.953926,-87.821076
Single Family Residential,Norridge,60706,389500,3,2.5,1345,2,Garage,11,No,No,41.961007,-87.83612
Single Family Residential,Norridge,60706,495000,5,2,8500,2,Garage,2,No,No,41.972622,-87.826066
Single Family Residential,Norridge,60706,374900,4,3,1615,1,Garage,63,Yes,No,41.957007,-87.815446
Single Family Residential,Norridge,60706,339900,3,2,1629,2,Garage,10,No,Yes,41.959301,-87.810624
Single Family Residential,Norridge,60706,295000,4,2,1920,1,Garage,38,Yes,Yes,41.958494,-87.817391
Single Family Residential,Norridge,60706,249900,3,2,1054,2,Garage,3,No,No,41.960137,-87.823527
Single Family Residential,Norridge,60706,929000,5,5.5,6500,2,Garage,14,No,No,41.969274,-87.834413
Single Family Residential,Norridge,60706,329750,3,2,1200,2,Garage,8,No,Yes,41.968645,-87.824104
Single Family Residential,Norridge,60706,285000,3,1,1269,2,Garage,120,Yes,No,41.967969,-87.833856
Single Family Residential,Norridge,60706,155000,2,1,836,1,None,56,No,Yes,41.953671,-87.811826
Condo/Coop,Norridge,60706,192000,2,2,1560,2,Garage,22,No,No,41.974295,-87.841137
Condo/Coop,Norridge,60706,269000,2,2,1400,1,Garage,22,No,Yes,41.964067,-87.835813
Single Family Residential,Norridge,60706,329900,2,2,1056,2,Garage,21,No,No,41.960667,-87.82723
Condo/Coop,Norridge,60706,179900,2,1.5,1080,2,Garage,41,Yes,Yes,41.967391,-87.818864
Single Family Residential,Norridge,60706,269900,2,1,1067,3,None,21,No,Yes,41.95504,-87.815465
Single Family Residential,Norridge,60706,435000,4,2,1920,1,Garage,15,No,Yes,41.971691,-87.826065
Single Family Residential,Norridge,60706,146300,2,1,891,2,Garage,42,Yes,Yes,41.956195,-87.821074
Single Family Residential,Norridge,60706,689000,4,3.5,3500,2,Garage,31,No,Yes,41.963974,-87.822768
Single Family Residential,Norridge,60706,669000,5,4,2938,2,Garage,26,No,Yes,41.96981,-87.823012
Condo/Coop,Norridge,60706,229900,2,2,1425,1,Garage,42,No,No,41.974305,-87.840543
Single Family Residential,Norridge,60706,259900,3,1.5,1285,1,Garage,39,No,Yes,41.969596,-87.836168
Single Family Residential,Norridge,60706,295000,3,2,981,2,Garage,24,Yes,No,41.968697,-87.822377
Single Family Residential,Norridge,60706,369000,3,2,1800,1,Garage,1,No,No,41.964558,-87.829009
Single Family Residential,Norridge,60706,845000,4,4.5,4170,3,Garage,95,No,No,41.97005,-87.833245
Single Family Residential,Oak Park,60302,399900,4,2.5,2012,4,Garage,130,Yes,Yes,41.886452,-87.788374
Condo/Coop,Oak Park,60302,136000,2,2,1382,1,None,73,No,Yes,41.880595,-87.799483
Single Family Residential,Oak Park,60304,630000,5,2.5,2575,4,Garage,270,No,No,41.87401,-87.798218
Townhouse,Oak Park,60302,149000,2,2,1382,1,None,241,No,Yes,41.8804599,-87.778169
Multi-Family,Oak Park,60304,1150000,10,6,6825,9,None,231,No,Yes,41.878612,-87.787735
Multi-Family,Oak Park,60304,659000,2,1,1067,5,None,207,No,No,41.865482,-87.795997
Single Family Residential,Oak Park,60304,350000,5,2,2800,0,None,272,No,Yes,41.871255,-87.786274
Single Family Residential,Oak Park,60302,597080,4,2.5,3064,2,Garage,217,Yes,No,41.904367,-87.795342
Single Family Residential,Oak Park,60302,539000,5,1.5,1989,2,Garage,221,Yes,No,41.897186,-87.798182
Condo/Coop,Oak Park,60302,159000,2,2,1382,0,None,77,No,No,41.882966,-87.801198
Single Family Residential,Oak Park,60302,825000,5,2,2263,3,Garage,92,No,Yes,41.896782,-87.795174
Single Family Residential,Oak Park,60302,515000,4,4,3000,2,Garage,56,No,Yes,41.894372,-87.777778
Multi-Family,Oak Park,60302,777000,6,4.5,5086,2,Garage,80,No,Yes,41.885571,-87.798228
Condo/Coop,Oak Park,60301,102000,2,1,880,1,None,256,Yes,No,41.887568,-87.798999
Single Family Residential,Oak Park,60304,177500,2,1,1100,0,None,316,No,Yes,41.874659,-87.80325
Condo/Coop,Oak Park,60302,180000,1,1,906,0,None,286,No,No,41.881793,-87.795267
Single Family Residential,Oak Park,60302,165000,1,1,850,0,None,226,No,Yes,41.881469,-87.781703
Single Family Residential,Oak Park,60302,584000,3,2,1629,2,Garage,112,Yes,Yes,41.901581,-87.792065
Single Family Residential,Oak Park,60302,433000,4,2,2206,5,Garage,31,Yes,No,41.899033,-87.777337
Single Family Residential,Oak Park,60302,889900,4,2.5,2184,2,Garage,28,Yes,Yes,41.904196,-87.797469
Single Family Residential,Oak Park,60302,899000,4,3,2872,2,Garage,45,Yes,Yes,41.906726,-87.796896
Single Family Residential,Oak Park,60302,849900,5,2.5,2575,4,Garage,22,No,No,41.90011,-87.798255
Single Family Residential,Oak Park,60302,475000,3,1.5,1431,3,Garage,46,Yes,Yes,41.902656,-87.802934
Single Family Residential,Oak Park,60302,849900,5,4.5,3655,7,Garage,64,Yes,No,41.901991,-87.802028
Single Family Residential,Oak Park,60302,430000,4,2.5,1883,3,Garage,22,Yes,Yes,41.889581,-87.780297
Single Family Residential,Oak Park,60302,477000,5,1.5,2200,6,Garage,16,Yes,No,41.88948,-87.777745
Condo/Coop,Oak Park,60301,178000,1,1,852,0,None,17,No,Yes,41.888351,-87.792954
Single Family Residential,Oak Park,60302,1150000,5,4.5,3000,3,Garage,4,No,No,41.895616,-87.789337
Condo/Coop,Oak Park,60301,199000,2,1,1100,2,Garage,3,No,Yes,41.888249,-87.795386
Condo/Coop,Oak Park,60301,189000,2,2,1182,0,None,35,Yes,Yes,41.8874573,-87.794904
Single Family Residential,Oak Park,60302,739000,5,2.5,2880,2,None,15,No,Yes,41.884018,-87.798971
Single Family Residential,Oak Park,60302,525000,4,3,2485,3,Garage,21,Yes,Yes,41.895534,-87.780478
Single Family Residential,Oak Park,60302,775000,3,3.5,2399,2,Garage,3,No,Yes,41.906642,-87.793421
Single Family Residential,Oak Park,60302,535000,4,2.5,2184,3,Garage,49,Yes,Yes,41.907125,-87.78054
Single Family Residential,Oak Park,60302,819995,4,3.5,2991,4,Garage,8,No,Yes,41.897675,-87.797294
Single Family Residential,Oak Park,60302,599000,4,3,3066,5,Garage,22,No,Yes,41.901771,-87.8031
Single Family Residential,Oak Park,60302,479000,4,1.5,2584,2,Garage,3,No,No,41.903212,-87.795971
Single Family Residential,Oak Park,60302,569999,4,1.5,1605,2,Garage,58,Yes,Yes,41.899051,-87.797378
Single Family Residential,Oak Park,60302,799900,4,2.5,2601,2,Garage,28,No,Yes,41.906662,-87.789081
Single Family Residential,Oak Park,60302,839300,4,3,2500,2,Garage,6,No,Yes,41.907346,-87.794651
Single Family Residential,Oak Park,60302,699900,4,3,2555,2,Garage,102,Yes,No,41.906212,-87.787649
Single Family Residential,Oak Park,60302,524500,3,2.5,1853,2,Garage,84,Yes,Yes,41.907953,-87.799175
Single Family Residential,Oak Park,60302,278500,4,2,1300,2,None,17,Yes,No,41.9053439,-87.779988
Single Family Residential,Oak Park,60302,239900,4,2,1920,1,Garage,16,Yes,No,41.905456,-87.778778
Single Family Residential,Oak Park,60302,919000,4,3.5,4700,3,Garage,94,Yes,No,41.905025,-87.784073
Single Family Residential,Oak Park,60302,474900,4,1.5,2017,2,Garage,39,Yes,No,41.904775,-87.790942
Single Family Residential,Oak Park,60302,385000,3,1.5,1838,4,Garage,69,Yes,No,41.904914,-87.777023
Single Family Residential,Oak Park,60302,1175000,5,4.5,3200,3,Garage,4,No,Yes,41.903766,-87.798431
Single Family Residential,Oak Park,60302,724900,4,3,2322,2,Garage,15,No,No,41.891239,-87.778723
Single Family Residential,Oak Park,60302,519000,4,2.5,2500,2,Garage,11,No,No,41.889099,-87.786804
Single Family Residential,Oak Park,60302,675000,5,2,3992,2,Garage,36,Yes,No,41.892579,-87.795047
Condo/Coop,Oak Park,60302,130000,1,1,900,1,None,83,Yes,No,41.890907,-87.795658
Condo/Coop,Oak Park,60302,174500,1,1,1100,0,None,32,Yes,No,41.8915599,-87.793969
Single Family Residential,Oak Park,60302,769900,6,4.5,3500,2,Garage,51,Yes,No,41.891834,-87.788509
Condo/Coop,Oak Park,60301,79000,1,1,906,2,Garage,39,Yes,Yes,41.889431,-87.803046
Condo/Coop,Oak Park,60302,202000,2,1,1398,1,None,231,Yes,Yes,41.8865582,-87.789371
Single Family Residential,Oak Park,60302,449900,3,2,1629,2,None,7,No,No,41.885123,-87.79825
Condo/Coop,Oak Park,60302,248800,2,1,1067,1,Garage,7,No,Yes,41.88498,-87.779231
Townhouse,Oak Park,60302,615000,3,3.5,2700,2,Garage,207,No,No,41.8867657,-87.800207
Single Family Residential,Oak Park,60302,1125000,5,3.5,3365,4,Garage,4,No,No,41.884861,-87.787382
Single Family Residential,Oak Park,60302,564000,4,3,2485,6,Garage,95,Yes,No,41.882889,-87.779166
Condo/Coop,Oak Park,60302,189000,2,2,1382,1,Garage,84,No,No,41.883988,-87.79392
Condo/Coop,Oak Park,60302,182900,2,1,1067,0,None,81,Yes,Yes,41.884964,-87.796686
Condo/Coop,Oak Park,60302,239900,2,1,1067,1,Garage,2,No,Yes,41.88498,-87.779231
Single Family Residential,Oak Park,60302,1200000,5,3.5,3798,4,Garage,42,Yes,No,41.898737,-87.789437
Single Family Residential,Oak Park,60302,525000,5,2,1974,2,Garage,14,No,No,41.896511,-87.80237
Condo/Coop,Oak Park,60302,509000,2,2,1962,2,Garage,109,Yes,No,41.889831,-87.794038
Condo/Coop,Oak Park,60302,179000,1,1,906,0,None,60,Yes,Yes,41.891767,-87.794092
Townhouse,Oak Park,60302,515000,4,3.5,2828,3,Garage,25,No,Yes,41.890509,-87.785214
Condo/Coop,Oak Park,60302,99000,1,1,906,0,None,19,No,Yes,41.891107,-87.803044
Condo/Coop,Oak Park,60302,99900,1,1,906,1,Garage,21,No,No,41.883975,-87.802027
Condo/Coop,Oak Park,60302,240000,2,2,1226,1,Garage,203,Yes,No,41.886634,-87.784568
Single Family Residential,Oak Park,60302,799900,5,3.5,3567,3,Garage,42,Yes,Yes,41.895005,-87.785338
Single Family Residential,Oak Park,60302,895000,4,3.5,2828,3,Garage,67,Yes,Yes,41.905179,-87.796025
Single Family Residential,Oak Park,60302,519000,3,1.5,2107,2,Garage,26,No,Yes,41.902433,-87.800529
Single Family Residential,Oak Park,60302,569900,4,2.5,2594,2,Garage,35,No,No,41.904435,-87.786388
Single Family Residential,Oak Park,60302,354999,4,2,1498,6,Garage,39,Yes,Yes,41.904361,-87.781187
Single Family Residential,Oak Park,60302,699000,3,3.5,2000,2,Garage,28,No,Yes,41.907884,-87.786934
Single Family Residential,Oak Park,60304,925000,5,3.5,4100,5,Garage,25,No,No,41.8954639,-87.795132
Condo/Coop,Oak Park,60304,72000,1,1,906,0,None,31,No,No,41.8780914,-87.791452
Single Family Residential,Oak Park,60304,449000,3,2,1520,3,Garage,177,Yes,Yes,41.8791734,-87.788983
Condo/Coop,Oak Park,60304,135000,2,1,1067,0,None,43,Yes,No,41.8780914,-87.791452
Condo/Coop,Oak Park,60304,184900,2,1,1250,0,None,41,Yes,No,41.8780914,-87.791452
Multi-Family,Oak Park,60302,499000,4,2,1920,2,None,25,No,Yes,41.892866,-87.803294
Multi-Family,Oak Park,60302,399000,4,3,2485,4,Garage,74,Yes,No,41.88949,-87.777036
Condo/Coop,Oak Park,60302,169900,2,2,1382,1,None,91,No,No,41.880871,-87.78986
Condo/Coop,Oak Park,60302,88000,1,1,515,1,None,24,No,Yes,41.886553,-87.78679
Single Family Residential,Oak Park,60304,287000,2,1.5,1214,2,Garage,24,No,No,41.868478,-87.790543
Condo/Coop,Oak Park,60302,87000,1,1,906,0,None,32,No,Yes,41.881865,-87.796598
Condo/Coop,Oak Park,60302,161000,2,2,900,1,None,24,No,No,41.881964,-87.788212
Single Family Residential,Oak Park,60302,480000,5,1.5,1989,5,Garage,24,No,Yes,41.882892,-87.785002
Townhouse,Oak Park,60304,395900,3,4,2397,2,Garage,38,Yes,Yes,41.865481,-87.789503
Single Family Residential,Oak Park,60304,279900,2,1,1067,2,Garage,18,No,No,41.87053,-87.781323
Condo/Coop,Oak Park,60302,52000,1,1,840,1,None,70,Yes,No,41.882098,-87.780671
Condo/Coop,Oak Park,60302,169900,3,1,1500,0,None,64,Yes,Yes,41.88172,-87.77925
Condo/Coop,Oak Park,60302,199000,2,1,1067,0,None,44,No,No,41.885747,-87.799335
Single Family Residential,Oak Park,60302,2500000,6,6,9500,4,Garage,32,No,No,41.894828,-87.795114
Condo/Coop,Oak Park,60302,288800,3,2,1800,1,Garage,35,Yes,Yes,41.882185,-87.794702
Single Family Residential,Oak Park,60304,898800,4,3.5,2828,2,Garage,36,No,Yes,41.874659,-87.796804
Condo/Coop,Oak Park,60304,89900,1,1,906,0,None,43,No,No,41.872784,-87.78995
Condo/Coop,Oak Park,60304,159495,2,1,1067,0,None,91,Yes,Yes,41.872772,-87.790641
Single Family Residential,Oak Park,60304,315000,2,2,1163,2,Garage,52,No,No,41.8671546,-87.779116
Condo/Coop,Oak Park,60302,145000,2,1.5,1214,1,None,84,Yes,No,41.882098,-87.780671
Single Family Residential,Oak Park,60304,385000,3,1.5,1431,2,Garage,22,Yes,No,41.879382,-87.780416
Condo/Coop,Oak Park,60302,159000,2,2,1000,1,None,107,Yes,No,41.882098,-87.780671
Condo/Coop,Oak Park,60302,129900,2,1.5,900,1,None,50,Yes,Yes,41.882098,-87.780671
Single Family Residential,Oak Park,60304,399000,3,2,1525,2,Garage,22,Yes,Yes,41.879052,-87.779892
Single Family Residential,Oak Park,60302,269900,3,1,1200,2,Garage,1,No,Yes,41.901643,-87.780564
Condo/Coop,Oak Park,60302,183500,2,1,1067,1,None,1,No,Yes,41.894453,-87.781142
Single Family Residential,Oak Park,60304,345000,3,2,1500,2,Garage,21,No,Yes,41.869149,-87.788637
Condo/Coop,Oak Park,60304,139000,2,1,1067,0,None,18,No,Yes,41.872772,-87.790641
Single Family Residential,Oak Park,60304,459900,3,1.5,1740,2,Garage,60,Yes,No,41.868558,-87.791776
Condo/Coop,Oak Park,60302,149000,2,2,1382,1,None,200,Yes,Yes,41.881964,-87.788212
Single Family Residential,Oak Park,60304,424900,3,2.5,1415,1,Garage,59,Yes,Yes,41.870647,-87.78572
Condo/Coop,Oak Park,60302,154900,2,1,1180,0,None,16,No,No,41.88139,-87.785133
Condo/Coop,Oak Park,60302,162500,2,1,1100,1,Garage,15,No,No,41.881988,-87.787146
Single Family Residential,Oak Park,60304,624000,4,2.5,2025,2,Garage,16,Yes,No,41.877513,-87.787698
Single Family Residential,Oak Park,60304,329900,3,1,1258,2,Garage,60,Yes,No,41.875829,-87.787123
Condo/Coop,Oak Park,60304,174900,1,1,906,1,Garage,6,No,No,41.8655472,-87.785759
Single Family Residential,Oak Park,60304,350000,4,2,1920,2,Garage,6,No,Yes,41.870837,-87.785016
Single Family Residential,Oak Park,60304,368800,4,2.5,2184,2,Garage,1,No,Yes,41.871138,-87.786255
Single Family Residential,Oak Park,60304,365000,3,1,1688,2,Garage,1,No,No,41.877463,-87.787179
Single Family Residential,Oak Park,60302,724500,4,2.5,3412,2,Garage,326,Yes,Yes,41.907052,-87.794127
Condo/Coop,Oak Park,60304,52000,1,1,750,0,None,144,Yes,No,41.870454,-87.794304
Townhouse,Oak Park,60304,417400,3,3,2800,2,Garage,11,No,No,41.8673962,-87.79384
Condo/Coop,Oak Park,60304,134900,2,1,1000,1,None,28,Yes,Yes,41.870461,-87.794306
Condo/Coop,Oak Park,60302,311000,3,2.5,1500,2,None,95,No,Yes,41.881211,-87.794676
Single Family Residential,Oak Park,60304,264000,2,2,1134,2,None,4,No,Yes,41.874322,-87.795875
Single Family Residential,Oak Park,60302,874000,4,3.5,3400,4,Garage,92,Yes,Yes,41.907078,-87.789734
Single Family Residential,Oak Park,60302,1170000,4,4,4359,2,Garage,92,Yes,Yes,41.9068244,-87.799861
Condo/Coop,Oak Park,60302,179000,2,1,1067,0,None,18,No,No,41.881301,-87.790571
Condo/Coop,Oak Park,60302,119500,1,1,725,1,None,17,No,Yes,41.881909,-87.794695
Single Family Residential,Oak Park,60302,795000,4,2.5,2184,2,Garage,14,No,Yes,41.882373,-87.791535
Townhouse,Oak Park,60302,544900,4,3.5,2700,2,Garage,71,No,No,41.8808594,-87.80072
Condo/Coop,Oak Park,60302,259000,2,1.5,1214,1,None,11,No,No,41.8820603,-87.79059
Condo/Coop,Oak Park,60302,79000,1,1,906,1,None,46,Yes,No,41.88182,-87.792347
Townhouse,Oak Park,60302,489900,3,4,2850,2,Garage,30,No,Yes,41.8798096,-87.80077
Condo/Coop,Oak Park,60302,94900,1,1,526,1,Garage,7,No,Yes,41.880791,-87.791494
Single Family Residential,Oak Park,60304,599000,4,2.5,1854,2,Garage,4,No,Yes,41.878484,-87.795698
Condo/Coop,Oak Park,60302,204500,2,1,1067,1,None,3,No,No,41.8812149,-87.800926
Condo/Coop,Oak Park,60302,70000,1,1,906,1,None,121,Yes,Yes,41.880656,-87.796564
Single Family Residential,Oak Park,60304,359000,3,1.5,1273,2,Garage,2,No,Yes,41.875084,-87.79077
Condo/Coop,Oak Park,60302,239000,2,1,1445,1,None,15,Yes,Yes,41.882343,-87.794707
Townhouse,Oak Park,60302,325000,3,2.5,1620,1,None,49,Yes,Yes,41.888216,-87.791276
Townhouse,Oak Park,60302,459000,3,3.5,2450,2,Garage,1,No,No,41.880453,-87.800844
Condo/Coop,Oak Park,60301,180000,1,1,895,0,None,38,Yes,Yes,41.888351,-87.792954
Condo/Coop,Oak Park,60302,134900,1,1,1100,1,None,50,No,No,41.881469,-87.781703
Single Family Residential,Oak Park,60302,279000,4,2,1959,0,None,168,Yes,No,41.89668,-87.78299
Single Family Residential,Oak Park,60304,519000,5,2,2600,3,Garage,51,Yes,Yes,41.875657,-87.784669
Condo/Coop,Oak Park,60302,180000,2,1,1067,2,None,8,No,No,41.882544,-87.784061
Condo/Coop,Oak Park,60301,157000,2,2,1200,0,None,151,Yes,Yes,41.889021,-87.797929
Condo/Coop,Oak Park,60302,249700,3,2,1300,1,None,29,Yes,Yes,41.8812843,-87.800295
Single Family Residential,Oak Park,60304,644900,4,3.5,2828,2,Garage,99,Yes,Yes,41.871378,-87.798839
Single Family Residential,Oak Park,60304,342800,3,1,1258,2,Garage,15,No,No,41.876155,-87.800086
Single Family Residential,Oak Park,60304,639000,3,2.5,1853,4,Garage,68,Yes,No,41.875555,-87.800067
Condo/Coop,Oak Park,60302,84000,1,1,900,1,None,17,No,No,41.8804182,-87.799583
Single Family Residential,Oak Park,60304,499000,3,2,2900,2,Garage,448,Yes,Yes,41.876474,-87.798297
Single Family Residential,Oak Park,60304,375000,4,1.5,1687,2,Garage,2,No,No,41.870005,-87.796915
Condo/Coop,Oak Park,60302,185000,2,1.5,1000,1,None,1,No,Yes,41.885211,-87.799314
Condo/Coop,Oak Park,60301,72000,2,2,1382,0,None,64,Yes,No,41.888262,-87.799398
Single Family Residential,Oak Park,60302,892000,4,2.5,2541,1,Garage,10,Yes,Yes,41.897394,-87.798808
Single Family Residential,Oak Park,60302,1195000,6,4.5,4454,2,Garage,36,Yes,No,41.892233,-87.797989
Single Family Residential,Oak Park,60302,420000,5,1.5,1810,2,Garage,60,Yes,No,41.901334,-87.790325
Single Family Residential,Oak Park,60302,899000,3,3,3336,2,Garage,28,No,Yes,41.90516,-87.797504
Single Family Residential,Oak Park,60302,825000,4,3.5,2828,2,Garage,1,No,Yes,41.904693,-87.800609
Condo/Coop,Oak Park,60302,119900,1,1,906,1,None,70,Yes,Yes,41.8798061,-87.801883
Condo/Coop,Oak Park,60302,95000,1,1,800,2,None,35,No,Yes,41.880629,-87.802769
Condo/Coop,Oak Park,60302,106490,1,1,906,1,None,312,Yes,Yes,41.883775,-87.80202
Single Family Residential,Oak Park,60302,650000,4,2.5,3500,4,Garage,63,No,Yes,41.881869,-87.80281
Condo/Coop,Oak Park,60302,120000,1,1,1000,1,None,16,No,Yes,41.881127,-87.801132
Condo/Coop,Oak Park,60302,209000,2,1,1490,1,Garage,67,Yes,Yes,41.880304,-87.803456
Townhouse,Oak Park,60302,469000,3,3.5,2450,2,Garage,18,No,Yes,41.8801678,-87.801176
Single Family Residential,Oak Park,60304,949900,5,5,3800,3,Garage,4,No,No,41.86779,-87.80148
Single Family Residential,Oak Park,60304,724500,5,4,3792,4,Garage,4,No,Yes,41.86836,-87.802333
Condo/Coop,Oak Park,60302,79000,1,1,906,1,None,30,Yes,Yes,41.882284,-87.802824
Condo/Coop,Oak Park,60302,140000,1,1,906,0,None,29,Yes,No,41.8819492,-87.803396
Condo/Coop,Oak Park,60302,575000,2,2.5,1932,2,Garage,11,No,No,41.8863993,-87.802218
Single Family Residential,Oak Park,60302,894900,4,3.5,2828,2,Garage,71,Yes,Yes,41.898467,-87.802787
Multi-Family,Oak Park,60302,459000,6,3,3453,3,Garage,290,Yes,Yes,41.882384,-87.776949
Single Family Residential,Oak Park,60304,312500,3,2,1544,2,Garage,15,No,Yes,41.86604,-87.776952
Multi-Family,Oak Park,60304,739900,7,3,4070,2,Garage,73,Yes,Yes,41.8731,-87.777209
Condo/Coop,Oak Park,60302,103000,1,1,906,0,None,119,Yes,No,41.881761,-87.776581
Single Family Residential,Oak Park,60304,339900,4,2,1227,3,Garage,29,Yes,No,41.865912,-87.778174
