Type,City,ZIP,ListPrice,BEDS,BATHS,ImputedSQFT,ParkSpots,HasGarage,DOM,BeenReduced,SoldPrev,LATITUDE,LONGITUDE
Townhouse,Oak Park,60302,424000,3,2.5,2000,2,Garage,28,No,No,41.880879,-87.801894
Condo/Coop,Oak Park,60302,299900,2,2,1382,1,Garage,24,No,Yes,41.880805,-87.784946
Single Family Residential,Oak Park,60302,1995000,6,4,5600,5,Garage,25,No,No,41.899165,-87.792962
Single Family Residential,Oak Park,60302,865000,6,3.5,3929,5,Garage,25,No,Yes,41.897771,-87.798947
Single Family Residential,Oak Park,60302,875000,5,2.5,3292,2,Garage,25,No,Yes,41.899223,-87.790264
Single Family Residential,Oak Park,60304,389000,4,1,1584,4,None,330,Yes,No,41.869349,-87.800139
Single Family Residential,Oak Park,60304,220000,4,2,1553,2,Garage,157,Yes,No,41.866203,-87.799405
Condo/Coop,Oak Park,60302,214000,2,2,1357,0,None,64,No,No,41.894334,-87.780434
Single Family Residential,Oak Park,60304,189900,3,2,969,2,Garage,43,Yes,Yes,41.866697,-87.779968
Multi-Family,Oak Park,60302,469500,4,4,3217,4,None,66,Yes,No,41.881206,-87.77912
Single Family Residential,Oak Park,60302,469900,4,1.5,2379,3,Garage,23,No,No,41.88096,-87.798014
Condo/Coop,Oak Park,60302,105000,1,1,906,1,Garage,72,Yes,Yes,41.881909,-87.794695
Single Family Residential,Oak Park,60304,559000,3,3.5,2399,2,Garage,37,No,No,41.878486,-87.780387
Single Family Residential,Oak Park,60302,598500,4,2.5,2500,4,Garage,80,Yes,Yes,41.88083,-87.778398
Single Family Residential,Oak Park,60304,369000,3,1.5,1800,2,Garage,1,No,Yes,41.877317,-87.781049
Single Family Residential,Oak Park,60304,239900,3,2,1854,2,Garage,16,No,Yes,41.866511,-87.790997
Single Family Residential,Oak Park,60304,595000,5,2,2200,2,Garage,8,No,Yes,41.873458,-87.791236
Condo/Coop,Oak Park,60304,68900,1,1,906,0,None,70,Yes,No,41.871536,-87.790913
Single Family Residential,Oak Park,60304,309000,3,1,1494,2,Garage,44,Yes,Yes,41.872809,-87.78852
Condo/Coop,Oak Park,60304,100000,1,1,600,1,None,1,No,No,41.8729263,-87.790043
Single Family Residential,Oak Park,60304,579000,4,2.5,5320,1,None,16,No,Yes,41.8795462,-87.785373
Condo/Coop,Oak Park,60302,259900,2,1,1067,1,Garage,1,No,No,41.882014,-87.785683
Single Family Residential,Oak Park,60302,894900,4,3.5,2828,2,Garage,91,Yes,Yes,41.900712,-87.786242
Single Family Residential,Oak Park,60304,445000,5,2,2263,3,Garage,25,No,Yes,41.873309,-87.794903
Single Family Residential,Oak Park,60304,389500,3,2,1676,2,Garage,28,Yes,Yes,41.879274,-87.788983
Townhouse,Oak Park,60302,449000,3,3.5,2394,2,Garage,4,No,Yes,41.880755,-87.800972
Single Family Residential,Oak Park,60302,484900,4,3,2800,4,Garage,4,No,No,41.88214,-87.796606
Condo/Coop,Oak Park,60302,225000,2,1,1100,1,None,1,No,Yes,41.8867499,-87.789414
Single Family Residential,Oak Park,60302,799000,6,3,3100,2,Garage,36,No,No,41.895795,-87.782819
Single Family Residential,Oak Park,60304,450000,4,2.5,2050,2,Garage,16,No,No,41.866715,-87.783651
Condo/Coop,Oak Park,60302,67000,1,1,900,1,None,10,No,No,41.881457,-87.782299
Single Family Residential,Oak Park,60304,489000,4,1.5,1687,2,Garage,64,Yes,No,41.869865,-87.800159
Single Family Residential,Oak Park,60304,524900,5,3,2736,2,Garage,70,Yes,No,41.8778677,-87.797502
Single Family Residential,Oak Park,60304,1095000,6,4.5,5347,2,Garage,1,No,Yes,41.895353,-87.798125
Single Family Residential,Oak Park,60302,499900,3,1.5,2058,2,Garage,36,No,No,41.907532,-87.792231
Condo/Coop,Oak Park,60302,62000,1,1,492,0,None,110,Yes,No,41.880629,-87.802769
Single Family Residential,Oak Park,60304,595000,4,2.5,2184,3,Garage,30,Yes,No,41.876079,-87.802605
Condo/Coop,Oak Park,60302,393000,3,2,2100,1,Garage,22,Yes,Yes,41.885988,-87.801168
Condo/Coop,Oak Park,60302,109000,1,1,800,1,Garage,35,No,Yes,41.881761,-87.776581
Single Family Residential,Oak Park,60302,545000,6,3.5,3134,3,Garage,17,No,Yes,41.881357,-87.776782
